text,size
Restaurants,51614
Food,19766
Bars,12680
American,10008
Nightlife,6969
Sandwiches,5864
Fast,5792
Traditional,5737
Pizza,5652
New,5181
Italian,4411
Burgers,4236
Breakfast,4122
Brunch,4103
Mexican,3935
Chinese,3775
Cafes,2893
Tea,2631
Services,2564
Coffee,2404
Event,2327
Chicken,2224
Japanese,2187
Seafood,2048
Wings,2019
Planning,2007
Salad,1850
Sushi,1833
Asian,1632
Wine,1569
Delis,1564
Fusion,1554
Mediterranean,1482
Sports,1456
Barbeque,1413
Canadian,1357
Specialty,1346
Steakhouses,1311
Thai,1291
Indian,1289
Pubs,1246
Caterers,1242
Bakeries,1200
Desserts,1150
Diners,1132
Beer,1063
Eastern,962
Middle,958
Greek,956
French,952
Vietnamese,928
Vegetarian,889
Arts,763
Spirits,756
Buffets,743
Entertainment,725
Korean,697
Ice,684
Hot,684
Tapas,678
Lounges,674
Cocktail,653
Venues,649
Tex,644
Mex,644
Yogurt,641
Cream,641
Soup,641
Frozen,641
Gluten,606
Free,606
Dogs,606
Smoothies,587
Juice,587
Comfort,584
Vegan,573
Hotels,561
Ethnic,558
Delivery,524
Caribbean,509
German,505
Gastropubs,504
Latin,469
Grocery,425
Trucks,419
Halal,394
Southern,387
Shopping,375
Small,368
Plates,368
Bagels,364
Spaces,352
Pakistani,349
Music,328
Shops,326
British,318
Travel,315
Fish,302
Chips,300
Shop,269
Noodles,263
Stands,255
Hawaiian,249
Imported,236
Soul,235
Cajun,230
Creole,230
Sum,230
Dim,230
Irish,228
Portuguese,221
European,219
Modern,216
Clubs,214
Local,214
Breweries,211
Creperies,210
Stores,208
Dive,206
Life,201
Active,199
Swabian,196
Spanish,186
Filipino,176
Bar,176
Street,175
Vendors,175
Cheesesteaks,173
Turkish,170
Markets,167
Dance,165
Lebanese,164
Taiwanese,161
Donuts,156
Flavor,155
Rooms,152
Persian,151
Iranian,151
Karaoke,150
African,144
Ramen,142
Brasseries,142
Health,134
Bistros,133
International,132
Garden,130
Party,128
Meat,126
Court,126
Bubble,106
Poutineries,106
Kosher,106
Tacos,103
Casinos,99
Falafel,98
Home,98
Hookah,92
Peruvian,92
Afghan,88
Delicatessen,85
Convenience,84
Spas,84
Internet,79
Brazilian,78
Pan,78
Pot,76
Scottish,75
Szechuan,75
Waffles,74
Ethiopian,73
Beauty,69
Cantonese,69
Wraps,67
Cuban,66
Golf,66
Kebab,66
Halls,66
Cake,65
Patisserie,65
Polish,64
Arcades,64
Butcher,62
Do,62
It,62
Yourself,62
Malaysian,61
Poke,61
Moroccan,60
Live,60
Raw,60
Pub,59
Jazz,58
Blues,58
Salvadoran,58
Pool,58
Cheese,57
Arabian,55
Centers,54
